"Date","Sales","Type"
2011-01-28,1695371.68,"Actual"
2011-02-04,1929346.23,"Actual"
2011-02-11,2168041.61,"Actual"
2011-02-18,2080884.82,"Actual"
2011-02-25,1833511.08,"Actual"
2011-03-04,1981607.78,"Actual"
2011-03-11,1879107.31,"Actual"
2011-03-18,1902557.66,"Actual"
2011-03-25,1766162.05,"Actual"
2011-04-01,1800171.36,"Actual"
2011-04-08,1847552.61,"Actual"
2011-04-15,1856467.84,"Actual"
2011-04-22,1886339.6,"Actual"
2011-04-29,1745545.28,"Actual"
2011-05-06,1837743.6,"Actual"
2011-05-13,1838513.07,"Actual"
2011-05-20,1688281.86,"Actual"
2011-05-27,1797732.56,"Actual"
2011-06-03,1933756.21,"Actual"
2011-06-10,1929153.16,"Actual"
2011-06-17,1953771.99,"Actual"
2011-06-24,1790925.8,"Actual"
2011-07-01,1866243,"Actual"
2011-07-08,1853161.99,"Actual"
2011-07-15,1785187.29,"Actual"
2011-07-22,1743816.41,"Actual"
2011-07-29,1680693.06,"Actual"
2011-08-05,1876704.26,"Actual"
2011-08-12,1812768.26,"Actual"
2011-08-19,1844094.59,"Actual"
2011-08-26,1821139.91,"Actual"
2011-09-02,1809119.7,"Actual"
2011-09-09,1748000.65,"Actual"
2011-09-16,1691439.52,"Actual"
2011-09-23,1669299.78,"Actual"
2011-09-30,1650394.44,"Actual"
2011-10-07,1837553.43,"Actual"
2011-10-14,1743882.19,"Actual"
2011-10-21,1834680.25,"Actual"
2011-10-28,1769296.25,"Actual"
2011-11-04,1959707.9,"Actual"
2011-11-11,1920725.15,"Actual"
2011-11-18,1902762.5,"Actual"
2011-11-25,2614202.3,"Actual"
2011-12-02,1954952,"Actual"
2011-12-09,2290549.32,"Actual"
2011-12-16,2432736.52,"Actual"
2011-12-30,1874226.52,"Actual"
2012-01-06,1799520.14,"Actual"
2012-01-13,1744725.48,"Actual"
2012-01-20,1711769.11,"Actual"
2012-01-27,1660906.14,"Actual"
2012-02-03,1935299.94,"Actual"
2012-02-10,2103322.68,"Actual"
2012-02-17,2196688.46,"Actual"
2012-02-24,1861802.7,"Actual"
2012-03-02,1952555.66,"Actual"
2012-03-09,1937628.26,"Actual"
2012-03-16,1976082.13,"Actual"
2012-03-23,1790439.16,"Actual"
2012-03-30,1857480.84,"Actual"
2012-04-06,2129035.91,"Actual"
2012-04-13,1935869.1,"Actual"
2012-04-20,1847344.45,"Actual"
2012-04-27,1764133.09,"Actual"
2012-05-04,1923957.09,"Actual"
2012-05-11,1917520.99,"Actual"
2012-05-18,2000940.67,"Actual"
2012-05-25,1912791.09,"Actual"
2012-06-01,1910092.37,"Actual"
2012-06-08,2010216.49,"Actual"
2012-06-15,1962924.3,"Actual"
2012-06-22,1887733.21,"Actual"
2012-06-29,1881046.12,"Actual"
2012-07-06,2041507.4,"Actual"
2012-07-13,1830075.13,"Actual"
2012-07-20,1819666.46,"Actual"
2012-07-27,1757923.88,"Actual"
2012-08-03,1946104.64,"Actual"
2012-08-10,1866719.96,"Actual"
2012-08-17,1928016.01,"Actual"
2012-08-24,1876788.15,"Actual"
2012-08-31,1947083.3,"Actual"
2012-09-07,1898777.07,"Actual"
2012-09-14,1814806.63,"Actual"
2012-09-21,1829415.67,"Actual"
2012-09-28,1746470.56,"Actual"
2012-10-05,1998321.04,"Actual"
2012-10-12,1900745.13,"Actual"
2012-10-19,1847990.41,"Actual"
2012-10-26,1834458.35,"Actual"
2010-02-05,461622.22,"Actual"
2010-02-12,420728.96,"Actual"
2010-02-19,421642.19,"Actual"
2010-02-26,407204.86,"Actual"
2010-03-05,415202.04,"Actual"
2010-03-12,384200.69,"Actual"
2010-03-19,375328.59,"Actual"
2010-03-26,359949.27,"Actual"
2010-04-02,423294.4,"Actual"
2010-04-09,415870.28,"Actual"
2010-04-16,354993.26,"Actual"
2010-04-23,339976.65,"Actual"
2010-04-30,361248.39,"Actual"
2010-05-07,399323.86,"Actual"
2010-05-14,384357.94,"Actual"
2010-05-21,343763.17,"Actual"
2010-05-28,350089.23,"Actual"
2010-06-04,396968.8,"Actual"
2010-06-11,355017.09,"Actual"
2010-06-18,364076.85,"Actual"
2010-06-25,357346.48,"Actual"
2010-07-02,381151.72,"Actual"
2010-07-09,349214.18,"Actual"
2010-07-16,352728.78,"Actual"
2010-07-23,352864.49,"Actual"
2010-07-30,347955.05,"Actual"
2010-08-06,402635.76,"Actual"
2010-08-13,339597.38,"Actual"
2010-08-20,351728.21,"Actual"
2010-08-27,362134.09,"Actual"
2010-09-03,366473.97,"Actual"
2010-09-10,352260.97,"Actual"
2010-09-17,363064.64,"Actual"
2010-09-24,355626.87,"Actual"
2010-10-01,358784.1,"Actual"
2010-10-08,395107.35,"Actual"
2010-10-15,345584.39,"Actual"
2010-10-22,348895.98,"Actual"
2010-10-29,348591.74,"Actual"
2010-11-05,423175.56,"Actual"
2010-11-12,386635.03,"Actual"
2010-11-19,372545.32,"Actual"
2010-11-26,565567.84,"Actual"
2010-12-03,476420.77,"Actual"
2010-12-10,467642.03,"Actual"
2010-12-17,498159.39,"Actual"
2010-12-24,605990.41,"Actual"
2010-12-31,382677.76,"Actual"
2011-01-07,378241.34,"Actual"
2011-01-14,381061.1,"Actual"
2011-01-21,350876.7,"Actual"
2011-01-28,364866.24,"Actual"
2011-02-04,438516.53,"Actual"
2011-02-11,430526.21,"Actual"
2011-02-18,432782.1,"Actual"
2011-02-25,397211.19,"Actual"
2011-03-04,437084.51,"Actual"
2011-03-11,404753.3,"Actual"
2011-03-18,392109.51,"Actual"
2011-03-25,380683.67,"Actual"
2011-04-01,374556.08,"Actual"
2011-04-08,384075.31,"Actual"
2011-04-15,366250.69,"Actual"
2011-04-22,391860.04,"Actual"
2011-04-29,367405.4,"Actual"
2011-05-06,413042.12,"Actual"
2011-05-13,386312.68,"Actual"
2011-05-20,364603.13,"Actual"
2011-05-27,369350.6,"Actual"
2011-06-03,394507.84,"Actual"
2011-06-10,391638.75,"Actual"
2011-06-17,403423.34,"Actual"
2011-06-24,385520.71,"Actual"
2011-07-01,368962.72,"Actual"
2011-07-08,395146.24,"Actual"
2011-07-15,373454.33,"Actual"
2011-07-22,360617.37,"Actual"
2011-07-29,345381.29,"Actual"
2011-08-05,409981.25,"Actual"
2011-08-12,380376.85,"Actual"
2011-08-19,379716.91,"Actual"
2011-08-26,366367.55,"Actual"
2011-09-02,375988.69,"Actual"
2011-09-09,377347.49,"Actual"
2011-09-16,375629.51,"Actual"
2011-09-23,365248.94,"Actual"
2011-09-30,368477.93,"Actual"
2011-10-07,403342.4,"Actual"
2011-10-14,368282.57,"Actual"
2011-10-21,394976.36,"Actual"
2011-10-28,389540.62,"Actual"
2011-11-04,459443.22,"Actual"
2011-11-11,407764.25,"Actual"
2011-11-18,398838.97,"Actual"
2011-11-25,556925.19,"Actual"
2011-12-02,472511.32,"Actual"
2011-12-09,468772.8,"Actual"
2011-12-16,510747.62,"Actual"
2011-12-23,551221.21,"Actual"
2011-12-30,410553.88,"Actual"
2012-01-06,398178.21,"Actual"
2012-01-13,367438.62,"Actual"
2012-01-20,365818.61,"Actual"
2012-01-27,349518.1,"Actual"
2012-02-03,424960.66,"Actual"
2012-02-10,473292.47,"Actual"
2012-02-17,475591.08,"Actual"
2012-02-24,418925.47,"Actual"
2012-03-02,469752.56,"Actual"
2012-03-09,445162.05,"Actual"
2012-03-16,411775.8,"Actual"
2012-03-23,413907.25,"Actual"
2012-03-30,407488.84,"Actual"
2012-04-06,503232.13,"Actual"
2012-04-13,420789.74,"Actual"
2012-04-20,434822.13,"Actual"
2012-04-27,394616.11,"Actual"
2012-05-04,439913.57,"Actual"
2012-05-11,431985.36,"Actual"
2012-05-18,418112.76,"Actual"
2012-05-25,413701.29,"Actual"
2012-06-01,432268.53,"Actual"
2012-06-08,446336.8,"Actual"
2012-06-15,442074.79,"Actual"
2012-06-22,419497.95,"Actual"
2012-06-29,422965.33,"Actual"
2012-07-06,411206.5,"Actual"
2012-07-13,416913.1,"Actual"
2012-07-20,432424.85,"Actual"
2012-07-27,389427.9,"Actual"
2012-08-03,419990.29,"Actual"
2012-08-10,391811.6,"Actual"
2012-08-17,394918.83,"Actual"
2012-08-24,412449.67,"Actual"
2012-08-31,408838.73,"Actual"
2012-09-07,408229.73,"Actual"
2012-09-14,407589.16,"Actual"
2012-09-21,414392.09,"Actual"
2012-09-28,389813.02,"Actual"
2012-10-05,443557.65,"Actual"
2012-10-12,410804.39,"Actual"
2012-10-19,424513.08,"Actual"
2012-10-26,405432.7,"Actual"
2010-02-05,2135143.87,"Actual"
2010-02-12,2188307.39,"Actual"
2010-02-19,2049860.26,"Actual"
2010-02-26,1925728.84,"Actual"
2010-03-05,1971057.44,"Actual"
2010-03-12,1894324.09,"Actual"
2010-03-19,1897429.36,"Actual"
2010-03-26,1762539.3,"Actual"
2010-04-02,1979247.12,"Actual"
2010-04-09,1818452.72,"Actual"
2010-04-16,1851519.69,"Actual"
2010-04-23,1802677.9,"Actual"
2010-04-30,1817273.28,"Actual"
2010-05-07,2000626.14,"Actual"
2010-05-14,1875597.28,"Actual"
2010-05-21,1903752.6,"Actual"
2010-05-28,1857533.7,"Actual"
2010-06-04,1903290.58,"Actual"
2010-06-11,1870619.23,"Actual"
2010-06-18,1929736.35,"Actual"
2010-06-25,1846651.95,"Actual"
2010-07-02,1881337.21,"Actual"
2010-07-09,1812208.22,"Actual"
2010-07-16,1898427.66,"Actual"
2010-07-23,1848426.78,"Actual"
2010-07-30,1796637.61,"Actual"
2010-08-06,1907638.58,"Actual"
2010-08-13,2007050.75,"Actual"
2010-08-20,1997181.09,"Actual"
2010-08-27,1848403.92,"Actual"
2010-09-03,1935857.58,"Actual"
2010-09-10,1865820.81,"Actual"
2010-09-17,1899959.61,"Actual"
2010-09-24,1810684.68,"Actual"
2010-10-01,1842821.02,"Actual"
2010-10-08,1951494.85,"Actual"
2010-10-15,1867345.09,"Actual"
2010-10-22,1927610.06,"Actual"
2010-10-29,1933333,"Actual"
2010-11-05,2013115.79,"Actual"
2010-11-12,1999794.26,"Actual"
2010-11-19,2097809.4,"Actual"
2010-12-03,2102530.17,"Actual"
2010-12-10,2302504.86,"Actual"
2010-12-31,1794868.74,"Actual"
2011-01-07,1862476.27,"Actual"
2011-01-14,1865502.46,"Actual"
2011-01-21,1886393.94,"Actual"
2011-01-28,1814240.85,"Actual"
2011-02-04,2119086.04,"Actual"
2011-02-11,2187847.29,"Actual"
2011-02-18,2316495.56,"Actual"
2011-02-25,2078094.69,"Actual"
2011-03-04,2103455.75,"Actual"
2011-03-11,2039818.41,"Actual"
2011-03-18,2116475.38,"Actual"
2011-03-25,1944164.32,"Actual"
2011-04-01,1900246.47,"Actual"
2011-04-08,2074953.46,"Actual"
2011-04-15,1960587.76,"Actual"
2011-04-22,2220600.76,"Actual"
2011-04-29,1878167.44,"Actual"
2011-05-06,2063682.76,"Actual"
2011-05-13,2002362.37,"Actual"
2011-05-20,2015563.48,"Actual"
2011-05-27,1986597.95,"Actual"
2011-06-03,2065377.15,"Actual"
2011-06-10,2073951.38,"Actual"
2011-06-17,2141210.62,"Actual"
2011-06-24,2008344.92,"Actual"
2011-07-01,2051533.53,"Actual"
2011-07-08,2066541.86,"Actual"
2011-07-15,2049046.95,"Actual"
2011-07-22,2036231.39,"Actual"
2011-07-29,1989674.07,"Actual"
2011-08-05,2160057.39,"Actual"
2011-08-12,2105668.74,"Actual"
2011-08-19,2232892.1,"Actual"
2011-08-26,1988490.21,"Actual"
2011-09-02,2078420.31,"Actual"
2011-09-09,2093139.01,"Actual"
2011-09-16,2075577.33,"Actual"
2011-09-23,2031406.41,"Actual"
2011-09-30,1929486.63,"Actual"
2011-10-07,2166737.65,"Actual"
2011-10-14,2074548.85,"Actual"
2011-10-21,2207742.13,"Actual"
2011-10-28,2151659.59,"Actual"
2011-11-04,2281217.31,"Actual"
2011-11-11,2203028.96,"Actual"
2011-11-18,2243946.59,"Actual"
2011-12-02,2180999.26,"Actual"
2011-12-09,2508955.24,"Actual"
2011-12-30,2007105.86,"Actual"
2012-01-06,2047766.07,"Actual"
2012-01-13,1941676.61,"Actual"
2012-01-20,2005097.76,"Actual"
2012-01-27,1928720.51,"Actual"
2012-02-03,2173373.91,"Actual"
2012-02-10,2374660.64,"Actual"
2012-02-17,2427640.17,"Actual"
2012-02-24,2226662.17,"Actual"
2012-03-02,2206319.9,"Actual"
2012-03-09,2202450.81,"Actual"
2012-03-16,2214967.44,"Actual"
2012-03-23,2091592.54,"Actual"
2012-03-30,2089381.77,"Actual"
2012-04-06,2470206.13,"Actual"
2012-04-13,2105301.39,"Actual"
2012-04-20,2144336.89,"Actual"
2012-04-27,2064065.66,"Actual"
2012-05-04,2196968.33,"Actual"
2012-05-11,2127661.17,"Actual"
2012-05-18,2207214.81,"Actual"
2012-05-25,2154137.67,"Actual"
2012-06-01,2179360.94,"Actual"
2012-06-08,2245257.18,"Actual"
2012-06-15,2234190.93,"Actual"
2012-06-22,2197299.65,"Actual"
2012-06-29,2128362.92,"Actual"
2012-07-06,2224499.28,"Actual"
2012-07-13,2100252.61,"Actual"
2012-07-20,2175563.69,"Actual"
2012-07-27,2048613.65,"Actual"
2012-08-03,2174514.13,"Actual"
2012-08-10,2193367.69,"Actual"
2012-08-17,2283540.3,"Actual"
2012-08-24,2125241.68,"Actual"
2012-08-31,2081181.35,"Actual"
2012-09-07,2125104.72,"Actual"
2012-09-14,2117854.6,"Actual"
2012-09-21,2119438.53,"Actual"
2012-09-28,2027620.23,"Actual"
2012-10-05,2209835.43,"Actual"
2012-10-12,2133026.07,"Actual"
2012-10-19,2097266.85,"Actual"
2012-10-26,2149594.46,"Actual"
2010-02-05,317173.1,"Actual"
2010-02-12,311825.7,"Actual"
2010-02-19,303447.57,"Actual"
2010-02-26,270281.63,"Actual"
2010-03-05,288855.71,"Actual"
2010-03-12,297293.59,"Actual"
2010-03-19,281706.41,"Actual"
2010-03-26,273282.97,"Actual"
2010-04-02,331406,"Actual"
2010-04-09,328020.49,"Actual"
2010-04-16,306858.69,"Actual"
2010-04-23,288839.73,"Actual"
2010-04-30,298697.84,"Actual"
2010-05-07,333522.6,"Actual"
2010-05-14,296673.77,"Actual"
2010-05-21,301615.49,"Actual"
2010-05-28,310013.11,"Actual"
2010-06-04,337825.89,"Actual"
2010-06-11,296641.91,"Actual"
2010-06-18,313795.6,"Actual"
2010-06-25,295257.3,"Actual"
2010-07-02,305993.27,"Actual"
2010-07-09,291808.87,"Actual"
2010-07-16,280701.7,"Actual"
2010-07-23,274742.63,"Actual"
2010-07-30,268929.03,"Actual"
2010-08-06,303043.02,"Actual"
2010-08-13,286477.35,"Actual"
2010-08-20,287205.38,"Actual"
2010-08-27,288519.75,"Actual"
2010-09-03,323798,"Actual"
2010-09-10,306533.08,"Actual"
2010-09-17,282558.65,"Actual"
2010-09-24,293131.58,"Actual"
2010-10-01,283178.12,"Actual"
2010-10-08,290494.85,"Actual"
2010-10-15,280681.2,"Actual"
2010-10-22,284988.27,"Actual"
2010-10-29,278031.81,"Actual"
2010-11-05,325310.3,"Actual"
2010-11-12,301827.36,"Actual"
2010-11-19,297384.81,"Actual"
2010-11-26,488362.61,"Actual"
2010-12-03,344490.88,"Actual"
2010-12-10,352811.53,"Actual"
2010-12-17,367801.19,"Actual"
2010-12-24,466010.25,"Actual"
2010-12-31,298180.18,"Actual"
2011-01-07,286347.26,"Actual"
2011-01-14,260636.71,"Actual"
2011-01-21,275313.34,"Actual"
2011-01-28,279088.39,"Actual"
2011-02-04,329613.2,"Actual"
2011-02-11,311590.54,"Actual"
2011-02-18,356622.61,"Actual"
2011-02-25,294659.5,"Actual"
2011-03-04,329033.66,"Actual"
2011-03-11,293098.1,"Actual"
2011-03-18,312177.67,"Actual"
2011-03-25,294732.5,"Actual"
2011-04-01,314316.55,"Actual"
2011-04-08,307333.62,"Actual"
2011-04-15,307913.58,"Actual"
2011-04-22,328415.44,"Actual"
2011-04-29,307291.56,"Actual"
2011-05-06,322904.68,"Actual"
2011-05-13,290930.01,"Actual"
2011-05-20,299614.33,"Actual"
2011-05-27,297149.69,"Actual"
2011-06-03,329183.92,"Actual"
2011-06-10,304984.14,"Actual"
2011-06-17,304811.82,"Actual"
2011-06-24,302881.64,"Actual"
2011-07-01,327093.89,"Actual"
2011-07-08,310804.93,"Actual"
2011-07-15,283248.62,"Actual"
2011-07-22,292539.73,"Actual"
2011-07-29,275142.17,"Actual"
2011-08-05,317738.56,"Actual"
2011-08-12,289886.16,"Actual"
2011-08-19,303643.84,"Actual"
2011-08-26,310338.17,"Actual"
2011-09-02,315645.53,"Actual"
2011-09-09,321110.22,"Actual"
2011-09-16,278529.71,"Actual"
2011-09-23,291024.98,"Actual"
2011-09-30,292315.38,"Actual"
2011-10-07,309111.47,"Actual"
2011-10-14,286117.72,"Actual"
2011-10-21,306069.18,"Actual"
2011-10-28,307035.11,"Actual"
2011-11-04,353652.23,"Actual"
2011-11-11,311906.7,"Actual"
2011-11-18,307944.37,"Actual"
2011-11-25,507900.07,"Actual"
2011-12-02,376225.61,"Actual"
2011-12-09,367433.77,"Actual"
2011-12-16,379530.3,"Actual"
2011-12-23,458562.24,"Actual"
2011-12-30,349624.88,"Actual"
2012-01-06,312078.71,"Actual"
2012-01-13,291454.52,"Actual"
2012-01-20,287523.98,"Actual"
2012-01-27,295974.22,"Actual"
2012-02-03,333948,"Actual"
2012-02-10,349239.88,"Actual"
2012-02-17,356427.98,"Actual"
2012-02-24,312220.47,"Actual"
2012-03-02,359206.21,"Actual"
2012-03-09,347295.6,"Actual"
2012-03-16,339392.54,"Actual"
2012-03-23,321299.99,"Actual"
2012-03-30,331318.73,"Actual"
2012-04-06,402985.7,"Actual"
2012-04-13,351832.03,"Actual"
2012-04-20,330063.06,"Actual"
2012-04-27,324839.74,"Actual"
2012-05-04,360932.69,"Actual"
2012-05-11,333870.52,"Actual"
2012-05-18,336189.66,"Actual"
2012-05-25,341994.48,"Actual"
2012-06-01,359867.8,"Actual"
2012-06-08,341704.59,"Actual"
2012-06-15,327383.64,"Actual"
2012-06-22,325041.68,"Actual"
2012-06-29,329658.1,"Actual"
2012-07-06,341214.43,"Actual"
2012-07-13,316203.64,"Actual"
2012-07-20,321205.12,"Actual"
2012-07-27,306827.36,"Actual"
2012-08-03,324195.17,"Actual"
2012-08-10,306759.7,"Actual"
2012-08-17,314014.18,"Actual"
2012-08-24,320831.36,"Actual"
2012-08-31,344642.01,"Actual"
2012-09-07,350648.91,"Actual"
2012-09-14,299800.67,"Actual"
2012-09-21,307306.76,"Actual"
2012-09-28,310141.68,"Actual"
2012-10-05,343048.29,"Actual"
2012-10-12,325345.41,"Actual"
2012-10-19,313358.15,"Actual"
2012-10-26,319550.77,"Actual"
2010-02-05,1652635.1,"Actual"
2010-02-12,1606283.86,"Actual"
2010-02-19,1567138.07,"Actual"
2010-02-26,1432953.21,"Actual"
2010-03-05,1601348.82,"Actual"
2010-03-12,1558621.36,"Actual"
2010-03-19,1693058.91,"Actual"
2010-03-26,1472033.38,"Actual"
2010-04-02,1770333.9,"Actual"
2010-04-09,1667181.82,"Actual"
2010-04-16,1519846.36,"Actual"
2010-04-23,1540435.99,"Actual"
2010-04-30,1498080.16,"Actual"
2010-05-07,1619920.04,"Actual"
2010-05-14,1524059.4,"Actual"
2010-05-21,1531938.44,"Actual"
2010-05-28,1644470.66,"Actual"
2010-06-04,1857380.09,"Actual"
2010-06-11,1685652.35,"Actual"
2010-06-18,1677248.24,"Actual"
2010-06-25,1640681.88,"Actual"
2010-07-02,1759777.25,"Actual"
2010-07-09,1690317.99,"Actual"
2010-07-16,1560120.8,"Actual"
2010-07-23,1585240.92,"Actual"
2010-07-30,1532308.78,"Actual"
2010-08-06,1633241.59,"Actual"
2010-08-13,1547654.98,"Actual"
2010-08-20,1539930.5,"Actual"
2010-08-27,1450766.12,"Actual"
2010-09-03,1510925.32,"Actual"
2010-09-10,1424225.44,"Actual"
2010-09-17,1308537.75,"Actual"
2010-09-24,1275591.84,"Actual"
2010-10-01,1328468.89,"Actual"
2010-10-08,1360317.9,"Actual"
2010-10-15,1344580.92,"Actual"
2010-10-22,1332716.53,"Actual"
2010-10-29,1385323.7,"Actual"
2010-11-05,1505442.15,"Actual"
2010-11-12,1495536.46,"Actual"
2010-11-19,1518841.45,"Actual"
2010-11-26,2267452.4,"Actual"
2010-12-03,1677067.24,"Actual"
